German,English
töten,kill
dinge,things
meinst,mean
toll,Great
eins,one
minuten,minute
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,little
tür,door
auto,automobile
jungs,guys
eure,your
augen,eyes
polizei,police
stehen,stand
sterben,to die
hätten,have
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,past
treffen,meeting
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,Mom
verrückt,crazy
neue,new
ging,went
hinter,Behind
sorgen,"ensure, to care"
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,quiet
sah,saw
ganzen,entire
spät,late
ziemlich,pretty much
solltest,ward
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,located
suchen,search
finde,find
je,ever
woher,where from
lang,long
job,job
keiner,none
seinem,his
hört,hearing
verstehen,to understand
spielen,play
s.,S.
überhaupt,at all
teufel,Devil
verstanden,Roger that
verloren,lost
große,size
hand,hand
grund,ground
jahr,year
kommst,come
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,think
oben,above
gestern,yesterday
versuchen,to attempt
art,kind
letzten,last
schatz,Darling
endlich,at last
he,head
nimm,take
etwa,about
erzählt,told
läuft,running
schwer,heavy
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,story
wenig,little
holen,fetch
bedeutet,means
nett,kind
